image,species,individual_id,classes,classes_species,fold,singlet_fold,not_seen,num_images,count
8c684c7d3b5f1e.jpg,dusky_dolphin,0013f1f5f2f0,0,8,-1,3,1,1,1
c6d687b5b7726d.jpg,dusky_dolphin,001618e0a31e,1,8,-1,4,0,1,1
631c44323e2286.jpg,white_sided_dolphin,0018a0f40586,2,29,-1,2,1,1,1
b7a69191ff089a.jpg,spotted_dolphin,00191b9a2f6f,3,28,-1,4,0,1,1
5b4b4b080e8ca1.jpg,spinner_dolphin,001a09e48b2d,4,27,2,2,1,4,4
bdbacbb2f43c7d.jpg,spinner_dolphin,001a09e48b2d,4,27,3,3,1,4,4
4a58a898000d33.jpg,spinner_dolphin,001a09e48b2d,4,27,4,4,1,4,4
755141fdb998b9.jpg,spinner_dolphin,001a09e48b2d,4,27,0,0,1,4,4
0390ba2a3ebff5.jpg,humpback_whale,001b30a25638,5,14,-1,2,1,1,1
25c64edf562a73.jpg,dusky_dolphin,0022256f1506,6,8,-1,4,0,1,1
bb928f71d5a028.jpg,minke_whale,002371f1ff68,7,19,4,4,1,2,2
d9a01a9a391517.jpg,minke_whale,002371f1ff68,7,19,0,0,1,2,2
682c42a633e0e0.jpg,spotted_dolphin,0024d6489e2f,8,28,-1,4,1,1,1
a39e68a6f7ad3b.jpg,bottlenose_dolphin,002a24f8887c,9,2,-1,1,0,1,1
c238afabb2e74d.jpg,melon_headed_whale,003fd9e237f5,10,18,4,4,1,8,8
0f06af893d962d.jpg,melon_headed_whale,003fd9e237f5,10,18,0,0,1,8,8
705d1a335c3a68.jpg,melon_headed_whale,003fd9e237f5,10,18,1,1,1,8,8
f4f7ae038aebba.jpg,melon_headed_whale,003fd9e237f5,10,18,2,2,1,8,8
5c6cf31cb4ba35.jpg,melon_headed_whale,003fd9e237f5,10,18,3,3,1,8,8
532d001d0a3682.jpg,melon_headed_whale,003fd9e237f5,10,18,4,4,1,8,8
cde29be0f0bccf.jpg,melon_headed_whale,003fd9e237f5,10,18,0,0,1,8,8
aedf6d9ed9359b.jpg,melon_headed_whale,003fd9e237f5,10,18,1,1,1,8,8
76e0f4725fe054.jpg,spinner_dolphin,00403981ddbc,11,27,-1,3,1,1,1
e3167bed300ee2.jpg,short_finned_pilot_whale,00406b0343ba,12,25,-1,0,1,1,1
6cb948cc863b60.jpg,blue_whale,0044220fa8b1,13,1,2,2,1,2,2
b5553a1391ab50.jpg,blue_whale,0044220fa8b1,13,1,3,3,1,2,2
14efefb7695bf2.jpg,blue_whale,004bcace9269,14,1,-1,2,1,1,1
57cae124515b2d.jpg,bottlenose_dolpin,005cab4fa315,15,3,4,4,1,2,2
62af38785064b6.jpg,bottlenose_dolpin,005cab4fa315,15,3,0,0,1,2,2
6f6a6a36f8e453.jpg,humpback_whale,005ec4dfc6e2,16,14,3,3,1,2,2
7e4f7230a02c36.jpg,humpback_whale,005ec4dfc6e2,16,14,4,4,1,2,2
1f31f58e16d32d.jpg,blue_whale,00602383dd7e,17,1,1,1,1,2,2
