image,individual_id,species,classes,classes_species,count_species,count_individual_id,fold
000110707af0ba.jpg,fbe2b15b5481,gray_whale,15352,13,1123,19,6
0006287ec424cb.jpg,1424c7fec826,false_killer_whale,1252,9,3326,39,6
000809ecb2ccad.jpg,1ce3ba6a3c29,beluga,1779,0,7443,21,6
00098d1376dab2.jpg,c4274d90be60,humpback_whale,11954,14,7392,15,6
000b8d89c738bd.jpg,cf500d3874bc,dusky_dolphin,12629,8,3139,1,6
000e246888710c.jpg,0afe0c9fc1e0,melon_headed_whale,685,18,1689,1,6
000eb6e73a31a5.jpg,77410a623426,bottlenose_dolphin,7302,2,9664,81,6
000fe6ebfc9893.jpg,8805324885f2,spinner_dolphin,8331,27,1700,6,6
0011f7a65044e4.jpg,d5dcbb35777c,spinner_dolphin,13014,27,1700,1,6
0012ff300032e3.jpg,19b638e11443,beluga,1593,0,7443,13,6
00150406ce5395.jpg,2280b5fcc6c2,false_killer_whale,2119,9,3326,37,6
0017f7e0de07b1.jpg,81bec36eb86e,bottlenose_dolphin,7951,2,9664,9,6
001c4c6d532419.jpg,2efee119d786,bottlenose_dolphin,2864,2,9664,42,6
001dc45839b1b5.jpg,cd2e1d83c6a1,southern_right_whale,12494,26,866,1,6
00248b9385e2e0.jpg,67b7b6934db9,blue_whale,6336,1,4830,2,6
002c7034834e2c.jpg,ed15fd01efbe,killer_whale,14466,16,1493,1,6
002d7a5f6d6765.jpg,df94b15285b9,beluga,13625,0,7443,39,6
002e8dd5f03476.jpg,3ab9313cbb32,humpback_whale,3592,14,7392,1,6
003130cbfd9538.jpg,83d4a6b00a36,beluga,8088,0,7443,19,6
003156bafb6454.jpg,db59c6b576c9,killer_whale,13361,16,1493,4,6
0032b07680c70c.jpg,617368452785,beluga,5937,0,7443,26,6
0033b2d4d58730.jpg,2deca938549e,kiler_whale,2802,15,962,17,6
00367a94430e04.jpg,9a1cc6354b70,beluga,9441,0,7443,15,6
00379d20adc510.jpg,51a5929d3acb,false_killer_whale,4956,9,3326,30,6
00396896be9cf9.jpg,0718f3601163,pygmy_killer_whale,437,22,76,14,6
0039922e81961b.jpg,778419da2957,bottlenose_dolphin,7325,2,9664,112,6
003c46063bb0c4.jpg,34aa8ce246c9,beluga,3189,0,7443,8,6
00408e82bc01f3.jpg,6642e34b23c8,fin_whale,6250,10,1324,35,6
00424bb2531f73.jpg,09abf77ea277,long_finned_pilot_whale,595,17,238,2,6
0042e3a3223eb5.jpg,8433ddb1a9f0,cuviers_beaked_whale,8116,7,341,2,6
00433f94a60fab.jpg,9f3613b5c45b,bottlenose_dolphin,9728,2,9664,90,6
004ab9cb92356c.jpg,79f2713e65a5,dusky_dolphin,7472,8,3139,1,6
004ceec96d93c2.jpg,212a788c210d,beluga,2038,0,7443,8,6
0050a7a912c014.jpg,4cd6e5f050ad,gray_whale,4658,13,1123,9,6
0052bfba7b177f.jpg,7894639960d6,humpback_whale,7390,14,7392,2,6
005c1cbee59057.jpg,cbf0a66149bf,sei_whale,12424,24,428,2,6
00613caa075d39.jpg,74745cb94379,pantropic_spotted_dolphin,7132,20,145,7,6
00661ed89a5a0d.jpg,04cc97bc74f0,beluga,306,0,7443,21,6
00765173b3ebfb.jpg,1c96860433c5,bottlenose_dolphin,1756,2,9664,14,6
0077e68171f1e7.jpg,03bb69128cd6,sei_whale,243,24,428,4,6
007ab28be42600.jpg,cf0fd38d30ae,beluga,12613,0,7443,21,6
007d8e7cc5c469.jpg,5936cc1a53d5,dusky_dolphin,5431,8,3139,2,6
0085f451e81193.jpg,1492507238d8,humpback_whale,1268,14,7392,19,6
0089a2064fb6cd.jpg,0611c23e6914,bottlenose_dolphin,379,2,9664,38,6
008c0d2c27feac.jpg,7f2ba5b09128,melon_headed_whale,7810,18,1689,1,6
008c784982c6d5.jpg,0ce11af9a22a,long_finned_pilot_whale,822,17,238,2,6
008f315350dd37.jpg,ae0cb953c419,spinner_dolphin,10647,27,1700,1,6
0093d6163baa0c.jpg,37c7aba965a5,minke_whale,3398,19,1608,400,6
0095cfe046ff0d.jpg,3be86ebda32f,killer_whale,3656,16,1493,1,6
009ce55e696403.jpg,51081e431bca,beluga,4909,0,7443,72,6
00a1791e235ac3.jpg,cc249e2a92c7,sei_whale,12437,24,428,1,6
00a247f371f807.jpg,55d0bd10d6ae,humpback_whale,5227,14,7392,33,6
00a2c36e0e4c3a.jpg,a0426f94bee5,beluga,9786,0,7443,9,6
00a3c40b008535.jpg,9ba6b6d1f2ff,spinner_dolphin,9540,27,1700,1,6
00a40f23b7c596.jpg,a19e2ccc47dc,dusky_dolphin,9869,8,3139,2,6
00a55c28e957b3.jpg,1191a41ee0f4,bottlenose_dolphin,1101,2,9664,121,6
00a57626a87d11.jpg,7053d3c812b5,bottlenose_dolphin,6868,2,9664,65,6
00a97cd7cfc575.jpg,61ba7f36b234,killer_whale,5948,16,1493,2,6
00a9f2b0710dea.jpg,1a6db6da3740,humpback_whale,1635,14,7392,2,6
00ab121f87441d.jpg,bd2153eb104f,blue_whale,11547,1,4830,7,6
00abf21bfadf51.jpg,8775960de688,southern_right_whale,8292,26,866,3,6
00ad4dd29b23b2.jpg,f43d6fb58b91,humpback_whale,14897,14,7392,1,6
00addb24f9d192.jpg,48ed02879fff,melon_headed_whale,4429,18,1689,1,6
00ae7c3a36d289.jpg,80d72641f44d,false_killer_whale,7888,9,3326,54,6
00b13356985ff6.jpg,6f47542558a1,beluga,6805,0,7443,38,6
00b1b89d1b39d0.jpg,17cd269165c9,beluga,1475,0,7443,3,6
00b5090419211a.jpg,f36c618eda4a,humpback_whale,14854,14,7392,45,6
00ba38fe9c26fa.jpg,ce873781a2c4,false_killer_whale,12573,9,3326,43,6
00ca9cd8f65c08.jpg,89c6b2383a27,kiler_whale,8443,15,962,15,6
00d124585fbf3d.jpg,ee262c5b2a9e,melon_headed_whale,14528,18,1689,7,6
00d5163e4c2175.jpg,ec89b3f08779,bottlenose_dolphin,14431,2,9664,13,6
00d58a316717ba.jpg,60008f293a2b,false_killer_whale,5842,9,3326,64,6
00d90b825ece01.jpg,59766565be72,blue_whale,5449,1,4830,1,6
00deb04eb1e072.jpg,04c451d68284,bottlenose_dolphin,304,2,9664,18,6
00e0dc3c51ae82.jpg,04cc97bc74f0,beluga,306,0,7443,21,6
00eba416ab0cb3.jpg,e72a5024c4ad,spinner_dolphin,14095,27,1700,14,6
00ebefc158a5df.jpg,f6d9d8ba896d,spinner_dolphin,15035,27,1700,1,6
00ed0e54c2c74b.jpg,54531ab268ba,spinner_dolphin,5139,27,1700,8,6
00ef253a4f50c4.jpg,b98dd976bae8,common_dolphin,11327,6,347,1,6
00f1dbbda1e420.jpg,124534ac8131,beluga,1141,0,7443,51,6
00f20f382733da.jpg,989563596678,beluga,9329,0,7443,8,6
00f3209a80ea08.jpg,48936da899c3,bottlenose_dolphin,4405,2,9664,84,6
00f3dbdfe9cc30.jpg,53b12711804d,beluga,5098,0,7443,8,6
00f3de28369aeb.jpg,247e4c6de07e,beluga,2247,0,7443,26,6
00fbf561260d4f.jpg,0594dd3c4e6b,melon_headed_whale,349,18,1689,1,6
01030c4a106d1f.jpg,c6005960433d,gray_whale,12069,13,1123,6,6
010315225fdf9a.jpg,ca886e0b34a3,bottlenose_dolphin,12334,2,9664,67,6
010332e34512bf.jpg,ce6e37904aa4,minke_whale,12567,19,1608,145,6
010cb2415bbcf2.jpg,55feac3c8d61,gray_whale,5233,13,1123,2,6
010f629fdcbf75.jpg,9a0c6902ebff,bottlenose_dolpin,9434,3,1117,2,6
01110dee1b2456.jpg,8f76b84bec12,minke_whale,8789,19,1608,33,6
01117eb813ab50.jpg,695bb814ce56,bottlenose_dolphin,6445,2,9664,81,6
011268d5019b36.jpg,23c67bd564c1,bottlenose_dolphin,2211,2,9664,11,6
01136f17e6d0f5.jpg,e943980b7a98,common_dolphin,14228,6,347,14,6
01151609bcbeff.jpg,dd6db0adbce2,beluga,13501,0,7443,2,6
011591b0314b42.jpg,a53b3aeb1e30,fin_whale,10094,10,1324,12,6
01161e770025a0.jpg,2912ae988cb8,bottlenose_dolpin,2536,3,1117,6,6
